,date,username,tweet,hashtags,nlikes
172,2020-06-16 12:44:02,ReppinDaBay415,"If anyone is looking for a good #BLM  documentary, check out ""Burn Motherfucker, Burn!"" It's about the relationship btwn the LAPD & LA residents. It focuses on the history of their protests & riots. It's available on Showtime & I think Hulu & YT at cost.",['#blm'],24
173,2020-06-16 12:43:15,emsbethany,How are you gonna have #blm in your name but tweet about liking jeffree star lmao,['#blm'],28
174,2020-06-16 12:43:08,TheJessieWoo,"These “Karen Cry” Apology Videos aren’t cutting it anymore. You said racism was a blessing. 

YOU’RE DONE. Open your purse 👜 cut a check to #BLM organizations. Increase the blacks on your staff because you ain’t got none unless they singing. And leave us TF alone.
Be blessed.  https://twitter.com/louiegiglio/status/1272960621869518850 …",['#blm'],68
175,2020-06-16 12:42:49,UIW_SAAC,"SAAC embraces diversity & inclusion within our campus and San Antonio community through intentional service projects, recruiting diverse representatives into SAAC & our campus initiatives. This is our promise that we will continue to listen, hear & fight with you #BLM #SAACbuilt pic.twitter.com/1XgaqO1bgr","['#blm', '#saacbuilt']",32
176,2020-06-16 12:37:56,Slimmy_xo,My firm has officially recognized Juneteenth as a firm holiday 🤎🖤 #BLM,['#blm'],18
177,2020-06-16 12:34:01,impressionist81,"President Trump has signed Prison reform, Police reform, increased funding Historically Black Colleges & Opportunity zones. Had lowest African American Employment. He supports school choice. Yes Trump knows #BLM. Actions not words.",['#blm'],40
178,2020-06-16 12:31:45,FromCarly,"I can't stop buying books...12 so far today. When I'm done reading those I haven't read, some will make it into my Little Free Library so others can read more about #BLM or get hooked on black authors (especially the ones with LGBTQ rep) Please join: #BlackoutBestsellerList","['#blm', '#blackoutbestsellerlist']",16
179,2020-06-16 12:31:24,politelyviolent,Hell hath no fury like a Karen turned woke #BlackLivesMatter #BLM  https://twitter.com/notcapnamerica/status/1272970418505297920 …,"['#blacklivesmatter', '#blm']",48
180,2020-06-16 12:29:39,maaqhi_itc,We got a chance to change our whole school. And we gone take it. @naomiihuntt my dog. #BLM 🖤,['#blm'],12
181,2020-06-16 12:28:44,Tiara_Talks,"Black people we have got to stop being the fall guys for these white, liberal, satanic agendas...

The only people who get hurt by this is us. 

#agenda
#SATANIC
#blm","['#agenda', '#satanic', '#blm']",39
